File_ID,Department,File_Type,Size_GB,Last_Access_Date,Storage_Tier,Monthly_Cost_USD
F00089,Engineering,Document,0.38,2024-05-24,S3 Standard,0.0087
F00090,Marketing,Document,4.29,2024-04-05,S3 Standard,0.0987
F00091,Marketing,Other,9.61,2024-02-03,S3 IA,0.1201
F00092,HR,Media,6.46,2023-11-04,S3 Standard,0.1486
F00093,Marketing,Other,2.23,2024-10-04,S3 Standard,0.0513
F00094,Marketing,Other,0.46,2023-12-09,S3 IA,0.0058
F00095,HR,Backup,1.13,2024-07-28,S3 Standard,0.026
F00096,Marketing,Backup,3.94,2023-11-28,S3 IA,0.0493
F00097,Sales,Backup,1.16,2025-08-03,Glacier,0.0046
F00098,Finance,Media,3.93,2025-03-10,S3 Standard,0.0904
F00099,Finance,Media,1.32,2024-10-30,S3 Standard,0.0304
F00100,HR,Other,9.45,2024-08-08,S3 Standard,0.2173
F00101,Engineering,Backup,2.53,2025-08-17,S3 Standard,0.0582
F00102,HR,Media,1.41,2024-04-14,S3 IA,0.0176
F00103,Engineering,Document,8.37,2024-02-10,S3 IA,0.1046
F00104,Finance,Other,2.1,2024-03-14,S3 Standard,0.0483
F00105,HR,Log,0.59,2025-01-16,S3 Standard,0.0136
F00106,Sales,Other,4.22,2025-06-16,S3 Standard,0.0971
F00107,Marketing,Log,4.36,2024-01-03,S3 Standard,0.1003
F00108,Engineering,Backup,6.27,2024-03-08,S3 IA,0.0784
F00109,Marketing,Log,1.37,2025-05-08,S3 Standard,0.0315
F00110,Marketing,Backup,2.93,2025-05-31,S3 IA,0.0366
F00111,HR,Document,1.66,2025-08-20,S3 IA,0.0208
F00112,Marketing,Log,0.42,2025-07-27,S3 IA,0.0053
F00113,Sales,Other,10.46,2025-01-28,S3 Standard,0.2406
F00114,Marketing,Backup,6.53,2024-12-27,S3 IA,0.0816
F00115,HR,Other,1.79,2024-02-29,S3 IA,0.0224
F00116,Sales,Media,4.57,2025-01-12,S3 IA,0.0571
F00117,Finance,Backup,1.12,2024-03-17,S3 Standard,0.0258
F00118,Marketing,Log,11.05,2024-03-10,S3 Standard,0.2541
F00119,HR,Backup,0.61,2025-02-13,S3 IA,0.0076
F00120,Finance,Other,0.02,2024-09-15,S3 Standard,0.0005
F00121,Finance,Document,3.49,2025-03-05,S3 Standard,0.0803
F00122,Engineering,Backup,4.37,2024-08-15,Glacier,0.0175
F00123,Sales,Log,4.33,2025-01-28,S3 Standard,0.0996
F00124,Marketing,Media,0.28,2025-03-25,S3 Standard,0.0064
F00125,HR,Document,1.88,2025-08-21,S3 Standard,0.0432
F00126,Engineering,Media,3.46,2024-08-22,S3 IA,0.0433
F00127,Sales,Backup,1.22,2025-04-26,S3 Standard,0.0281
F00128,Engineering,Other,10.3,2025-01-30,S3 IA,0.1288
F00129,Sales,Other,0.46,2024-08-19,S3 Standard,0.0106
F00130,Sales,Log,3.34,2024-02-04,S3 Standard,0.0768
F00131,Marketing,Other,5.88,2024-11-12,S3 IA,0.0735
F00132,Sales,Document,1.52,2025-05-17,S3 Standard,0.035
F00133,Engineering,Other,4.89,2023-12-23,Glacier,0.0196
F00134,Sales,Log,8.84,2024-08-17,S3 Standard,0.2033
F00135,Marketing,Backup,1.06,2024-11-27,S3 Standard,0.0244
F00136,Marketing,Backup,12.46,2024-10-08,S3 Standard,0.2866
F00137,Engineering,Other,4.03,2023-11-27,S3 Standard,0.0927
F00138,Finance,Media,1.78,2025-08-14,Glacier,0.0071
F00139,Finance,Backup,2.82,2025-06-11,S3 IA,0.0352
F00140,Sales,Other,1.87,2024-11-22,S3 Standard,0.043
F00141,HR,Log,6.46,2023-12-27,S3 Standard,0.1486
F00142,Sales,Other,7.96,2023-12-05,S3 IA,0.0995
F00143,Engineering,Backup,8.95,2024-09-26,S3 Standard,0.2058
F00144,Engineering,Log,21.26,2024-12-04,S3 Standard,0.489
F00145,Engineering,Other,7.83,2025-08-25,Glacier,0.0313
F00146,Engineering,Document,4.6,2025-05-13,Glacier,0.0184
F00147,Engineering,Log,2.07,2024-12-06,Glacier,0.0083
F00148,Marketing,Document,3.93,2024-10-18,S3 IA,0.0491
F00149,Finance,Media,0.21,2023-10-26,S3 IA,0.0026
F00150,Engineering,Log,6.83,2024-09-02,S3 Standard,0.1571
F00151,HR,Document,2.95,2024-05-22,S3 Standard,0.0679
F00152,HR,Backup,0.1,2024-05-03,S3 Standard,0.0023
F00153,HR,Backup,0.32,2025-08-12,S3 IA,0.004
F00154,HR,Media,2.45,2024-04-25,S3 IA,0.0306
F00155,Marketing,Log,4.38,2024-11-11,S3 IA,0.0548
F00156,HR,Log,3.12,2025-02-20,Glacier,0.0125
F00157,Engineering,Log,4.83,2025-03-13,S3 IA,0.0604
F00158,Sales,Media,3.27,2024-07-02,Glacier,0.0131
F00159,HR,Log,5.42,2023-09-12,S3 Standard,0.1247
F00160,Marketing,Backup,1.24,2023-12-30,S3 IA,0.0155
F00161,Marketing,Document,0.6,2025-04-13,S3 Standard,0.0138
F00162,HR,Backup,4.54,2024-01-12,S3 Standard,0.1044
F00163,Sales,Backup,3.31,2025-03-06,Glacier,0.0132
F00164,HR,Document,0.14,2024-08-17,S3 IA,0.0018
F00165,Marketing,Backup,2.39,2024-10-25,S3 Standard,0.055
F00166,Finance,Media,0.56,2023-09-24,S3 Standard,0.0129
F00167,Engineering,Document,3.79,2023-11-23,S3 IA,0.0474
F00168,Marketing,Backup,2.52,2024-02-28,S3 IA,0.0315
F00169,HR,Other,4.75,2025-08-09,Glacier,0.019
F00170,Engineering,Backup,8.19,2025-01-15,S3 Standard,0.1884
F00171,HR,Media,1.78,2024-06-24,S3 Standard,0.0409
F00172,HR,Log,16.36,2024-06-14,S3 Standard,0.3763
F00173,Finance,Backup,3.84,2025-02-05,S3 Standard,0.0883
F00174,Engineering,Log,4.82,2023-12-08,S3 Standard,0.1109
F00175,Engineering,Other,5.71,2025-06-11,Glacier,0.0228
F00176,Finance,Backup,5.49,2025-02-06,S3 Standard,0.1263
F00177,Marketing,Document,3.58,2024-04-03,S3 Standard,0.0823
F00178,HR,Log,2.8,2025-02-13,S3 Standard,0.0644
F00179,Sales,Other,0.28,2024-04-11,S3 Standard,0.0064
F00180,HR,Document,0.11,2025-05-22,S3 IA,0.0014
F00181,HR,Document,2.22,2024-08-25,S3 IA,0.0278
F00182,Marketing,Document,2.03,2025-04-03,S3 IA,0.0254
F00183,HR,Document,2.45,2025-08-13,S3 Standard,0.0564
F00184,Finance,Backup,0.74,2024-05-02,S3 Standard,0.017
F00185,Finance,Backup,6.7,2024-12-17,S3 Standard,0.1541
F00186,Engineering,Backup,9.72,2024-06-02,S3 Standard,0.2236
F00187,Sales,Other,13.96,2025-05-03,S3 IA,0.1745
F00188,HR,Other,3.39,2024-06-07,S3 Standard,0.078
F00189,HR,Other,6.03,2024-04-15,S3 IA,0.0754
F00190,Marketing,Media,9.67,2024-01-07,S3 Standard,0.2224
F00191,Finance,Other,2.71,2024-05-30,S3 IA,0.0339
F00192,Sales,Backup,1.85,2023-11-02,Glacier,0.0074
F00193,Engineering,Backup,13.8,2025-06-27,S3 IA,0.1725
F00194,Finance,Media,3.63,2024-06-09,S3 Standard,0.0835
F00195,Engineering,Media,3.44,2024-12-24,Glacier,0.0138
F00196,Marketing,Other,0.98,2023-11-21,S3 IA,0.0123
F00197,Marketing,Log,0.57,2025-03-08,S3 Standard,0.0131
F00198,HR,Media,9.23,2025-08-20,S3 Standard,0.2123
F00199,Sales,Document,4.76,2023-10-29,S3 IA,0.0595
F00200,Engineering,Backup,1.97,2024-05-01,S3 IA,0.0246
F00201,Finance,Document,1.06,2023-11-20,S3 Standard,0.0244
F00202,Marketing,Backup,4.05,2023-11-04,S3 Standard,0.0931
F00203,HR,Backup,4.38,2024-07-26,Glacier,0.0175
F00204,HR,Media,1.16,2024-09-04,S3 Standard,0.0267
F00205,Engineering,Media,9.53,2025-05-06,S3 Standard,0.2192
F00206,Marketing,Document,0.44,2024-06-11,S3 Standard,0.0101
F00207,Sales,Backup,2.2,2025-01-23,S3 IA,0.0275
F00208,Marketing,Document,5.7,2025-03-07,S3 Standard,0.1311
F00209,Engineering,Log,1.6,2024-11-03,S3 IA,0.02
F00210,Engineering,Document,8.79,2024-06-12,S3 Standard,0.2022
F00211,Marketing,Other,6.73,2025-04-18,S3 IA,0.0841
F00212,Engineering,Document,7.78,2024-07-10,S3 IA,0.0973
F00213,Marketing,Other,0.63,2023-12-15,S3 Standard,0.0145
F00214,Finance,Other,0.76,2024-05-11,S3 Standard,0.0175
F00215,Marketing,Other,1.69,2024-11-11,S3 Standard,0.0389
F00216,Marketing,Log,3.65,2023-12-17,S3 Standard,0.0839
F00217,Engineering,Document,6.89,2024-08-21,S3 IA,0.0861
F00218,Engineering,Document,9.06,2025-08-06,S3 Standard,0.2084
F00219,HR,Log,6.09,2024-06-18,S3 IA,0.0761
F00220,HR,Backup,13.2,2024-06-04,S3 Standard,0.3036
F00221,Finance,Media,6.71,2023-12-18,S3 Standard,0.1543
F00222,HR,Document,1.83,2025-01-09,S3 Standard,0.0421
F00223,Marketing,Media,1.54,2024-02-22,S3 Standard,0.0354
F00224,Engineering,Log,5.96,2024-08-23,S3 Standard,0.1371
F00225,HR,Backup,1.07,2025-06-30,S3 IA,0.0134
F00226,HR,Backup,0.49,2024-10-20,S3 Standard,0.0113
F00227,Finance,Backup,3.8,2024-02-07,S3 Standard,0.0874
F00228,Finance,Log,8.62,2024-07-26,S3 IA,0.1077
F00229,Marketing,Other,0.53,2024-06-21,S3 IA,0.0066
F00230,Engineering,Other,7.85,2023-11-17,S3 Standard,0.1805
F00231,Finance,Media,8.35,2025-08-30,S3 IA,0.1044
F00232,HR,Other,3.29,2025-04-21,S3 Standard,0.0757
F00233,Engineering,Other,0.3,2023-10-11,S3 IA,0.0037
F00234,Engineering,Backup,0.96,2024-11-08,S3 IA,0.012
F00235,HR,Backup,6.15,2025-03-05,S3 IA,0.0769
F00236,Finance,Media,6.22,2024-02-02,S3 IA,0.0777
F00237,HR,Document,11.43,2023-11-05,S3 Standard,0.2629
F00238,Engineering,Media,4.37,2024-06-23,S3 IA,0.0546
F00239,Sales,Media,0.66,2024-04-30,S3 Standard,0.0152
F00240,Sales,Log,0.65,2024-07-09,S3 Standard,0.0149
F00241,Marketing,Log,6.39,2023-12-25,S3 Standard,0.147
F00242,HR,Media,1.02,2023-11-20,Glacier,0.0041
F00243,HR,Media,1.99,2023-09-15,S3 IA,0.0249
F00244,Marketing,Media,3.34,2024-09-27,S3 Standard,0.0768
F00245,Marketing,Other,0.13,2025-01-01,S3 IA,0.0016
F00246,Marketing,Log,1.43,2024-06-16,S3 IA,0.0179
F00247,Engineering,Media,2.62,2025-01-25,S3 Standard,0.0603
F00248,HR,Backup,1.64,2024-03-19,S3 Standard,0.0377
F00249,Engineering,Backup,0.73,2024-09-13,S3 IA,0.0091
F00250,Marketing,Other,6.51,2025-06-08,S3 Standard,0.1497
F00251,HR,Other,8.39,2024-12-26,S3 Standard,0.193
F00252,Engineering,Document,1.49,2025-04-16,S3 IA,0.0186
F00253,Engineering,Document,7.45,2024-12-21,Glacier,0.0298
F00254,Marketing,Document,2.44,2024-09-23,S3 IA,0.0305
F00255,HR,Other,3.53,2024-04-05,S3 IA,0.0441
F00256,Marketing,Other,9.69,2025-06-23,S3 Standard,0.2229
F00257,HR,Other,6.93,2025-07-28,S3 Standard,0.1594
F00258,Sales,Backup,8.18,2023-12-18,S3 IA,0.1023
F00259,Finance,Other,0.74,2025-01-28,S3 Standard,0.017
F00260,Finance,Backup,0.36,2025-05-02,S3 IA,0.0045
F00261,Finance,Document,11.19,2023-10-20,S3 Standard,0.2574
F00262,Marketing,Document,2.45,2024-07-24,S3 Standard,0.0564
F00263,Sales,Document,1.7,2023-12-09,S3 Standard,0.0391
F00264,HR,Media,6.45,2024-12-03,Glacier,0.0258
F00265,Engineering,Media,9.05,2024-09-03,S3 Standard,0.2082
F00266,HR,Log,9.92,2024-11-03,S3 Standard,0.2282
F00267,Engineering,Log,1.9,2024-11-02,S3 Standard,0.0437
F00268,HR,Log,9.56,2024-02-04,S3 IA,0.1195
F00269,Sales,Media,0.21,2024-12-15,S3 Standard,0.0048
F00270,Engineering,Media,0.25,2024-08-22,S3 Standard,0.0057
F00271,Marketing,Log,4.88,2024-06-03,S3 Standard,0.1122
F00272,HR,Log,0.33,2024-12-30,S3 IA,0.0041
F00273,HR,Other,1.96,2025-07-21,S3 Standard,0.0451
F00274,Engineering,Log,5.59,2025-05-22,S3 Standard,0.1286
F00275,Marketing,Other,2.06,2025-05-13,S3 Standard,0.0474
F00276,Marketing,Backup,0.99,2024-09-10,S3 Standard,0.0228
F00277,Sales,Media,1.65,2023-11-22,S3 IA,0.0206
F00278,Marketing,Log,3.06,2024-08-06,S3 Standard,0.0704
F00279,Marketing,Media,3.23,2024-02-12,Glacier,0.0129
F00280,Marketing,Media,7.64,2025-05-12,Glacier,0.0306
F00281,Finance,Media,6.93,2024-10-17,S3 Standard,0.1594
F00282,Sales,Backup,3.05,2025-04-05,S3 IA,0.0381
F00283,HR,Document,9.34,2024-11-18,S3 IA,0.1168
F00284,Engineering,Log,0.61,2023-12-27,S3 IA,0.0076
F00285,HR,Document,1.47,2025-03-12,S3 Standard,0.0338
F00286,Sales,Document,8.8,2024-03-14,S3 Standard,0.2024
F00287,Engineering,Document,2.37,2025-07-01,S3 Standard,0.0545
F00288,Sales,Media,19.86,2025-08-21,S3 IA,0.2482
F00289,Marketing,Other,3.14,2025-07-08,S3 Standard,0.0722
F00290,Engineering,Media,7.85,2025-01-01,S3 Standard,0.1805
F00291,Marketing,Media,2.57,2024-06-15,S3 Standard,0.0591
F00292,HR,Document,2.77,2024-05-03,S3 Standard,0.0637
F00293,HR,Media,2.41,2025-07-15,S3 Standard,0.0554
F00294,Engineering,Document,6.35,2024-12-30,S3 Standard,0.146
F00295,Engineering,Other,3.97,2025-01-28,S3 Standard,0.0913
F00296,Sales,Log,14.39,2024-07-05,Glacier,0.0576
F00297,Sales,Document,1.44,2024-08-27,S3 Standard,0.0331
F00298,Marketing,Other,0.53,2025-06-19,S3 IA,0.0066
F00299,Engineering,Log,2.5,2025-02-18,S3 Standard,0.0575
F00300,HR,Backup,4.79,2025-03-30,S3 Standard,0.1102
F00301,Sales,Document,9.86,2025-04-25,S3 IA,0.1232
F00302,Sales,Document,2.12,2024-02-07,S3 IA,0.0265
F00303,HR,Backup,5.3,2024-02-22,S3 Standard,0.1219
F00304,Sales,Backup,2.16,2024-12-09,Glacier,0.0086
F00305,Marketing,Document,4.8,2024-07-22,Glacier,0.0192
F00306,Engineering,Backup,10.81,2023-12-13,Glacier,0.0432
F00307,HR,Media,1.32,2024-06-15,S3 Standard,0.0304
F00308,Engineering,Log,2.59,2024-06-08,S3 Standard,0.0596
F00309,Sales,Log,25.0,2025-06-29,S3 IA,0.3125
F00310,Sales,Log,10.15,2024-08-03,S3 IA,0.1269
F00311,HR,Media,4.16,2024-09-23,S3 Standard,0.0957
F00312,Marketing,Backup,3.63,2025-02-27,S3 IA,0.0454
F00313,Finance,Other,1.67,2025-07-26,S3 Standard,0.0384
F00314,HR,Backup,3.64,2024-08-13,S3 Standard,0.0837
F00315,Finance,Document,9.43,2024-10-21,S3 Standard,0.2169
F00316,Finance,Log,5.78,2024-07-12,S3 IA,0.0723
F00317,Marketing,Backup,1.71,2024-12-05,S3 Standard,0.0393
F00318,Finance,Other,1.12,2023-09-20,S3 IA,0.014
F00319,Finance,Document,1.54,2025-05-20,S3 Standard,0.0354
F00320,Marketing,Media,0.93,2024-12-23,S3 IA,0.0116
F00321,Finance,Media,0.5,2025-05-09,Glacier,0.002
F00322,Finance,Other,2.72,2025-05-26,S3 IA,0.034
F00323,Finance,Document,0.6,2024-05-01,Glacier,0.0024
F00324,HR,Log,0.94,2025-08-27,S3 Standard,0.0216
F00325,HR,Backup,3.96,2025-04-20,S3 Standard,0.0911
F00326,HR,Document,0.9,2024-01-17,S3 Standard,0.0207
F00327,Marketing,Media,0.33,2023-10-22,S3 Standard,0.0076
F00328,Sales,Other,1.91,2025-07-24,S3 IA,0.0239
F00329,Finance,Other,1.24,2024-11-06,S3 Standard,0.0285
F00330,Finance,Backup,3.62,2024-09-08,S3 Standard,0.0833
F00331,Marketing,Other,0.54,2025-05-29,S3 Standard,0.0124
F00332,Finance,Other,6.97,2024-10-23,S3 Standard,0.1603
F00333,HR,Document,11.83,2023-12-11,S3 Standard,0.2721
F00334,Sales,Log,6.8,2024-07-03,S3 IA,0.085
F00335,Engineering,Backup,3.81,2024-10-18,S3 Standard,0.0876
F00336,Finance,Document,9.85,2024-01-28,S3 Standard,0.2266
F00337,HR,Log,5.94,2024-09-06,S3 IA,0.0743
F00338,Engineering,Document,0.05,2024-12-28,S3 IA,0.0006
F00339,Sales,Document,2.51,2025-02-06,S3 Standard,0.0577
F00340,Engineering,Other,9.52,2024-05-02,S3 IA,0.119
F00341,HR,Log,2.12,2024-02-16,S3 Standard,0.0488
F00342,Engineering,Backup,0.18,2025-01-30,S3 Standard,0.0041
F00343,Marketing,Backup,6.86,2024-01-16,S3 Standard,0.1578
F00344,Engineering,Log,8.1,2025-03-09,S3 Standard,0.1863
F00345,Finance,Other,0.88,2024-01-30,S3 IA,0.011
F00346,Finance,Media,3.85,2024-08-18,S3 Standard,0.0886
F00347,Marketing,Document,1.07,2024-02-29,S3 Standard,0.0246
F00348,HR,Other,6.35,2024-07-05,S3 IA,0.0794
F00349,Finance,Log,1.58,2025-02-27,S3 Standard,0.0363
F00350,Sales,Document,1.9,2025-01-28,S3 Standard,0.0437
F00351,Finance,Backup,9.32,2023-10-20,S3 IA,0.1165
F00352,Finance,Media,3.23,2024-10-01,S3 Standard,0.0743
F00353,HR,Backup,5.54,2023-10-02,S3 IA,0.0693
F00354,Engineering,Log,2.57,2024-11-27,S3 Standard,0.0591
F00355,Finance,Document,1.77,2024-05-05,S3 IA,0.0221
F00356,Marketing,Log,4.91,2025-03-28,S3 Standard,0.1129
F00357,Engineering,Document,0.84,2024-10-26,S3 IA,0.0105
F00358,Sales,Other,2.33,2024-10-18,S3 Standard,0.0536
F00359,HR,Media,1.17,2023-10-12,S3 IA,0.0146
F00360,Sales,Other,5.95,2024-06-07,S3 Standard,0.1368
F00361,Engineering,Other,14.43,2023-09-23,S3 Standard,0.3319
F00362,Engineering,Log,27.03,2025-01-21,S3 Standard,0.6217
F00363,Engineering,Media,2.99,2025-03-10,S3 IA,0.0374
F00364,Sales,Document,1.46,2023-11-30,Glacier,0.0058
F00365,Engineering,Document,2.92,2025-07-18,S3 Standard,0.0672
F00366,Sales,Backup,9.4,2024-01-23,S3 Standard,0.2162
F00367,Engineering,Document,1.15,2024-01-12,S3 IA,0.0144
F00368,Marketing,Log,15.19,2024-03-02,S3 Standard,0.3494
F00369,Engineering,Other,2.09,2023-11-26,Glacier,0.0084
F00370,Sales,Other,21.27,2024-12-22,S3 IA,0.2659
F00371,Finance,Other,9.12,2025-01-11,S3 IA,0.114
F00372,Engineering,Media,8.27,2024-12-31,S3 Standard,0.1902
F00373,Finance,Document,1.91,2023-12-01,S3 Standard,0.0439
F00374,Marketing,Log,0.04,2023-11-15,S3 IA,0.0005
F00375,HR,Media,2.41,2025-09-03,Glacier,0.0096
F00376,Marketing,Backup,1.8,2024-06-09,Glacier,0.0072
F00377,Engineering,Log,0.19,2024-02-08,S3 Standard,0.0044
F00378,Finance,Log,3.52,2024-12-29,S3 Standard,0.081
F00379,Finance,Log,2.58,2023-11-23,S3 Standard,0.0593
F00380,Sales,Other,5.03,2023-10-04,S3 IA,0.0629
F00381,Finance,Log,4.85,2024-02-01,S3 Standard,0.1115
F00382,Sales,Document,0.64,2024-01-11,S3 Standard,0.0147
F00383,HR,Log,18.85,2024-04-10,S3 Standard,0.4336
F00384,Engineering,Other,1.03,2024-10-07,S3 Standard,0.0237
F00385,Sales,Log,2.95,2025-07-29,Glacier,0.0118
F00386,HR,Backup,3.35,2025-01-12,S3 Standard,0.0771
F00387,Finance,Backup,8.38,2024-04-25,S3 Standard,0.1927
F00388,Finance,Other,0.52,2024-11-14,S3 Standard,0.012
F00389,HR,Document,2.8,2025-04-15,S3 Standard,0.0644
F00390,Finance,Document,4.95,2024-05-21,S3 Standard,0.1139
F00391,HR,Media,1.21,2023-09-26,S3 Standard,0.0278
F00392,Sales,Other,4.94,2025-07-18,S3 IA,0.0618
F00393,Sales,Log,12.86,2025-08-29,S3 Standard,0.2958
F00394,HR,Other,29.99,2024-04-14,S3 Standard,0.6898
F00395,Sales,Media,0.16,2024-10-18,S3 Standard,0.0037
F00396,Sales,Other,1.34,2024-01-22,S3 IA,0.0168
F00397,Sales,Other,1.86,2025-02-15,S3 Standard,0.0428
F00398,Marketing,Media,2.55,2024-03-18,S3 IA,0.0319
F00399,Engineering,Document,1.39,2024-10-18,S3 Standard,0.032
F00400,Finance,Log,1.14,2024-10-13,S3 IA,0.0142
F00401,Marketing,Media,15.46,2025-07-30,S3 Standard,0.3556
F00402,Sales,Backup,12.54,2025-07-31,Glacier,0.0502
F00403,HR,Document,0.24,2024-10-07,S3 Standard,0.0055
F00404,Sales,Backup,2.07,2024-06-24,S3 Standard,0.0476
F00405,Engineering,Document,2.6,2024-05-07,S3 IA,0.0325
F00406,Sales,Log,1.37,2024-09-04,S3 Standard,0.0315
F00407,HR,Log,4.96,2024-12-20,Glacier,0.0198
F00408,Engineering,Other,5.11,2025-01-16,S3 Standard,0.1175
F00409,Sales,Backup,9.5,2025-01-01,S3 IA,0.1188
F00410,Engineering,Document,6.75,2025-08-20,S3 IA,0.0844
F00411,Finance,Log,3.91,2025-01-09,Glacier,0.0156
