File_ID,Department,File_Type,Size_GB,Days_Since_Access,Storage_Tier,Proposed_Tier,Potential_Savings
F00220,HR,Backup,13.2,621,S3 Standard,Glacier,0.2508
F00897,HR,Document,13.16,293,S3 Standard,Glacier,0.2501
F02487,Marketing,Backup,13.13,624,S3 Standard,Glacier,0.2495
F00066,Engineering,Media,13.04,584,S3 Standard,Glacier,0.2477
F00594,Finance,Backup,13.01,391,S3 Standard,Glacier,0.2472
F01779,HR,Other,12.99,653,S3 Standard,Glacier,0.2468
F01735,Sales,Media,12.97,592,S3 Standard,Glacier,0.2464
F01142,Sales,Other,12.96,422,S3 Standard,Glacier,0.2463
F02459,HR,Log,12.95,430,S3 Standard,Glacier,0.246
F00062,Engineering,Media,12.89,753,S3 Standard,Glacier,0.2449
F01361,Sales,Log,12.83,644,S3 Standard,Glacier,0.2438
F01710,Sales,Document,12.83,834,S3 Standard,Glacier,0.2438
F02949,Engineering,Other,12.72,797,S3 Standard,Glacier,0.2417
F01397,Finance,Media,12.67,778,S3 Standard,Glacier,0.2407
F01558,Marketing,Other,12.61,673,S3 Standard,Glacier,0.2396
F01599,Sales,Other,12.55,533,S3 Standard,Glacier,0.2384
F01224,Marketing,Media,12.48,525,S3 Standard,Glacier,0.2371
F01457,Marketing,Media,12.48,713,S3 Standard,Glacier,0.2371
F00136,Marketing,Backup,12.46,495,S3 Standard,Glacier,0.2368
F01295,Marketing,Other,12.45,857,S3 Standard,Glacier,0.2366
F02236,Finance,Document,12.44,385,S3 Standard,Glacier,0.2363
F01570,Marketing,Document,12.38,621,S3 Standard,Glacier,0.2352
F01136,Finance,Other,27.6,253,S3 IA,Glacier,0.2346
F01958,HR,Media,12.34,182,S3 Standard,Glacier,0.2344
F02404,Finance,Log,12.33,652,S3 Standard,Glacier,0.2343
F02390,Finance,Log,12.3,724,S3 Standard,Glacier,0.2337
F02804,HR,Document,12.29,357,S3 Standard,Glacier,0.2335
F01782,Engineering,Other,12.19,691,S3 Standard,Glacier,0.2316
F00986,Marketing,Backup,12.19,412,S3 Standard,Glacier,0.2316
F00896,Sales,Document,12.13,627,S3 Standard,Glacier,0.2305
F02331,HR,Document,12.13,631,S3 Standard,Glacier,0.2305
F01040,Finance,Backup,12.05,746,S3 Standard,Glacier,0.229
F00684,Finance,Log,12.03,543,S3 Standard,Glacier,0.2286
F01265,HR,Log,11.95,811,S3 Standard,Glacier,0.227
F02152,Engineering,Backup,11.95,827,S3 Standard,Glacier,0.227
F01725,Sales,Document,11.92,263,S3 Standard,Glacier,0.2265
F00333,HR,Document,11.83,797,S3 Standard,Glacier,0.2248
F00901,Marketing,Log,11.83,599,S3 Standard,Glacier,0.2248
F01562,Finance,Other,11.82,776,S3 Standard,Glacier,0.2246
F02370,Marketing,Document,11.77,715,S3 Standard,Glacier,0.2236
F01089,Engineering,Media,11.74,890,S3 Standard,Glacier,0.223
F02110,Engineering,Media,11.68,608,S3 Standard,Glacier,0.2219
F02290,Marketing,Backup,26.1,390,S3 IA,Glacier,0.2219
F02167,Marketing,Media,11.66,223,S3 Standard,Glacier,0.2216
F01232,Finance,Backup,11.66,223,S3 Standard,Glacier,0.2216
F02217,Finance,Media,11.64,181,S3 Standard,Glacier,0.2211
F01799,HR,Other,11.61,630,S3 Standard,Glacier,0.2206
F02664,HR,Other,11.59,215,S3 Standard,Glacier,0.2202
F00717,Finance,Log,11.5,624,S3 Standard,Glacier,0.2185
F01469,HR,Log,11.49,724,S3 Standard,Glacier,0.2183
F01808,Marketing,Document,11.49,620,S3 Standard,Glacier,0.2183
F01157,HR,Log,11.46,387,S3 Standard,Glacier,0.2178
F01102,HR,Log,11.45,695,S3 Standard,Glacier,0.2175
F00237,HR,Document,11.43,833,S3 Standard,Glacier,0.2172
F00571,Finance,Other,11.3,711,S3 Standard,Glacier,0.2147
F01349,HR,Other,25.24,338,S3 IA,Glacier,0.2145
F02587,Marketing,Log,11.26,850,S3 Standard,Glacier,0.214
F02840,Sales,Log,11.22,544,S3 Standard,Glacier,0.2132
F01402,Sales,Backup,11.22,343,S3 Standard,Glacier,0.2132
F00261,Finance,Document,11.19,849,S3 Standard,Glacier,0.2126
F00309,Sales,Log,25.0,231,S3 IA,Glacier,0.2125
F01451,Engineering,Log,11.12,649,S3 Standard,Glacier,0.2113
F01696,Sales,Media,11.1,812,S3 Standard,Glacier,0.2109
F01036,HR,Media,11.08,225,S3 Standard,Glacier,0.2105
F02852,Finance,Other,11.06,217,S3 Standard,Glacier,0.2102
F00517,Finance,Other,11.06,437,S3 Standard,Glacier,0.2102
F00118,Marketing,Log,11.05,707,S3 Standard,Glacier,0.21
F00608,HR,Document,10.99,882,S3 Standard,Glacier,0.2088
F01364,Marketing,Other,10.98,617,S3 Standard,Glacier,0.2086
F01922,Engineering,Document,10.98,495,S3 Standard,Glacier,0.2086
F01411,Marketing,Other,10.98,296,S3 Standard,Glacier,0.2086
F01511,Marketing,Document,10.98,721,S3 Standard,Glacier,0.2086
F02479,Sales,Media,24.53,348,S3 IA,Glacier,0.2085
F02812,HR,Other,10.96,575,S3 Standard,Glacier,0.2083
F02629,Engineering,Other,10.94,604,S3 Standard,Glacier,0.2078
F02256,Engineering,Backup,10.94,406,S3 Standard,Glacier,0.2078
F02155,Engineering,Media,10.93,376,S3 Standard,Glacier,0.2077
F02434,HR,Other,10.93,570,S3 Standard,Glacier,0.2077
F01621,Engineering,Other,10.92,759,S3 Standard,Glacier,0.2075
F02795,Marketing,Other,10.9,514,S3 Standard,Glacier,0.2071
F01921,HR,Backup,10.89,622,S3 Standard,Glacier,0.2069
F02395,Marketing,Backup,10.88,585,S3 Standard,Glacier,0.2067
F02833,Sales,Document,10.87,675,S3 Standard,Glacier,0.2065
F02689,Marketing,Media,10.76,892,S3 Standard,Glacier,0.2045
F01587,HR,Document,24.04,245,S3 IA,Glacier,0.2043
F01662,Marketing,Media,10.74,776,S3 Standard,Glacier,0.204
F01460,Sales,Log,10.72,717,S3 Standard,Glacier,0.2037
F02893,HR,Media,10.71,183,S3 Standard,Glacier,0.2035
F01377,Marketing,Media,10.7,218,S3 Standard,Glacier,0.2033
F02146,Sales,Log,10.7,731,S3 Standard,Glacier,0.2033
F01946,HR,Document,10.69,654,S3 Standard,Glacier,0.2031
F01050,HR,Log,10.68,655,S3 Standard,Glacier,0.2029
F02808,HR,Media,10.64,300,S3 Standard,Glacier,0.2021
F00774,Finance,Backup,10.57,780,S3 Standard,Glacier,0.2008
F00022,Sales,Log,10.54,184,S3 Standard,Glacier,0.2002
F00649,HR,Other,10.51,790,S3 Standard,Glacier,0.1997
F02686,Marketing,Media,10.51,385,S3 Standard,Glacier,0.1997
F02186,HR,Other,10.49,740,S3 Standard,Glacier,0.1993
F01277,HR,Other,10.49,735,S3 Standard,Glacier,0.1993
F00113,Sales,Other,10.46,383,S3 Standard,Glacier,0.1988
F00968,Sales,Media,10.42,687,S3 Standard,Glacier,0.198
F02402,Engineering,Backup,10.4,859,S3 Standard,Glacier,0.1976
F01878,Engineering,Backup,10.38,440,S3 Standard,Glacier,0.1972
F02278,HR,Log,10.37,811,S3 Standard,Glacier,0.197
F01639,HR,Other,10.36,815,S3 Standard,Glacier,0.1969
F00460,Marketing,Log,10.36,436,S3 Standard,Glacier,0.1969
F01712,Engineering,Log,10.36,569,S3 Standard,Glacier,0.1969
F01783,Marketing,Log,10.35,224,S3 Standard,Glacier,0.1966
F02062,Sales,Backup,10.31,460,S3 Standard,Glacier,0.1959
F00659,HR,Other,10.26,227,S3 Standard,Glacier,0.195
F02164,Finance,Other,10.23,865,S3 Standard,Glacier,0.1944
F00833,Finance,Document,10.19,613,S3 Standard,Glacier,0.1936
F00533,Finance,Media,10.19,671,S3 Standard,Glacier,0.1936
F00811,Engineering,Backup,10.18,583,S3 Standard,Glacier,0.1934
F01088,Marketing,Other,10.16,654,S3 Standard,Glacier,0.1931
F00982,Engineering,Other,10.15,713,S3 Standard,Glacier,0.1928
F02698,Sales,Media,10.09,594,S3 Standard,Glacier,0.1917
F02964,Finance,Document,10.08,634,S3 Standard,Glacier,0.1915
F00728,Finance,Backup,10.06,798,S3 Standard,Glacier,0.1912
F02121,HR,Document,10.05,622,S3 Standard,Glacier,0.191
F00426,Finance,Document,10.03,365,S3 Standard,Glacier,0.1906
F00005,Sales,Media,10.0,819,S3 Standard,Glacier,0.19
F02616,Sales,Document,9.97,888,S3 Standard,Glacier,0.1894
F01467,Sales,Log,9.96,845,S3 Standard,Glacier,0.1893
F00454,Sales,Media,9.96,841,S3 Standard,Glacier,0.1893
F00266,HR,Log,9.92,469,S3 Standard,Glacier,0.1885
F00681,Sales,Document,9.91,357,S3 Standard,Glacier,0.1883
F02130,Finance,Backup,9.9,251,S3 Standard,Glacier,0.1881
F01988,Finance,Backup,9.9,501,S3 Standard,Glacier,0.1881
F00336,Finance,Document,9.85,749,S3 Standard,Glacier,0.1872
F01202,Engineering,Backup,9.83,440,S3 Standard,Glacier,0.1868
F02691,Engineering,Other,9.79,335,S3 Standard,Glacier,0.186
F02223,Sales,Document,9.79,745,S3 Standard,Glacier,0.186
F02102,Engineering,Backup,9.79,668,S3 Standard,Glacier,0.186
F02426,Sales,Log,9.78,476,S3 Standard,Glacier,0.1858
F00786,HR,Document,9.77,332,S3 Standard,Glacier,0.1856
F00759,Sales,Log,9.77,349,S3 Standard,Glacier,0.1856
F01149,Finance,Other,9.76,532,S3 Standard,Glacier,0.1855
F01929,Finance,Document,9.75,335,S3 Standard,Glacier,0.1852
F00186,Engineering,Backup,9.72,623,S3 Standard,Glacier,0.1847
F00256,Marketing,Other,9.69,237,S3 Standard,Glacier,0.1841
F02997,Sales,Document,9.68,375,S3 Standard,Glacier,0.1839
F02753,HR,Document,9.68,471,S3 Standard,Glacier,0.1839
F02567,Marketing,Backup,9.68,868,S3 Standard,Glacier,0.1839
F00190,Marketing,Media,9.67,770,S3 Standard,Glacier,0.1837
F02050,Finance,Media,9.66,723,S3 Standard,Glacier,0.1836
F00506,HR,Media,21.6,189,S3 IA,Glacier,0.1836
F01715,Engineering,Media,9.64,851,S3 Standard,Glacier,0.1831
F02190,Sales,Other,9.64,271,S3 Standard,Glacier,0.1831
F02084,Engineering,Log,9.64,493,S3 Standard,Glacier,0.1831
F01111,HR,Other,9.59,724,S3 Standard,Glacier,0.1822
F01246,Marketing,Media,9.59,301,S3 Standard,Glacier,0.1822
F02031,HR,Other,9.58,450,S3 Standard,Glacier,0.182
F02987,Marketing,Backup,9.57,643,S3 Standard,Glacier,0.1818
F00685,Marketing,Other,9.55,846,S3 Standard,Glacier,0.1814
F00205,Engineering,Media,9.53,285,S3 Standard,Glacier,0.1811
F01905,Engineering,Backup,9.53,280,S3 Standard,Glacier,0.1811
F00370,Sales,Other,21.27,420,S3 IA,Glacier,0.1808
F02168,Sales,Log,9.5,187,S3 Standard,Glacier,0.1805
F02123,Marketing,Document,9.5,533,S3 Standard,Glacier,0.1805
F00630,Engineering,Document,9.48,276,S3 Standard,Glacier,0.1801
F01339,Engineering,Backup,9.47,457,S3 Standard,Glacier,0.1799
F01597,Finance,Backup,9.45,585,S3 Standard,Glacier,0.1796
F00100,HR,Other,9.45,556,S3 Standard,Glacier,0.1796
F01561,Engineering,Log,9.44,543,S3 Standard,Glacier,0.1793
F01510,Finance,Other,9.44,445,S3 Standard,Glacier,0.1793
F00315,Finance,Document,9.43,482,S3 Standard,Glacier,0.1792
F02806,HR,Media,9.41,826,S3 Standard,Glacier,0.1788
F00366,Sales,Backup,9.4,754,S3 Standard,Glacier,0.1786
F02661,Marketing,Document,9.34,417,S3 Standard,Glacier,0.1774
F02897,HR,Media,9.31,202,S3 Standard,Glacier,0.1769
F01161,HR,Document,9.3,248,S3 Standard,Glacier,0.1767
F02338,Engineering,Document,20.71,682,S3 IA,Glacier,0.1761
F02646,Engineering,Media,9.24,747,S3 Standard,Glacier,0.1755
F02088,Engineering,Log,9.23,480,S3 Standard,Glacier,0.1754
F01024,Sales,Backup,20.59,431,S3 IA,Glacier,0.175
F02583,Sales,Document,9.2,542,S3 Standard,Glacier,0.1748
F00468,Marketing,Document,9.15,319,S3 Standard,Glacier,0.1738
F00849,HR,Document,9.11,488,S3 Standard,Glacier,0.1731
F02297,Finance,Backup,9.11,189,S3 Standard,Glacier,0.1731
F01182,Engineering,Log,20.33,561,S3 IA,Glacier,0.1728
F01688,Marketing,Backup,9.06,314,S3 Standard,Glacier,0.1722
F00218,Engineering,Document,9.06,193,S3 Standard,Glacier,0.1722
F00015,Engineering,Media,9.05,742,S3 Standard,Glacier,0.172
F00265,Engineering,Media,9.05,530,S3 Standard,Glacier,0.172
F02868,Engineering,Document,9.03,596,S3 Standard,Glacier,0.1716
F01474,Sales,Log,9.03,432,S3 Standard,Glacier,0.1716
F02457,Engineering,Other,20.12,372,S3 IA,Glacier,0.171
F02667,Sales,Log,8.99,602,S3 Standard,Glacier,0.1708
F02649,Sales,Backup,8.97,293,S3 Standard,Glacier,0.1704
F02668,Engineering,Document,8.95,670,S3 Standard,Glacier,0.17
F00143,Engineering,Backup,8.95,507,S3 Standard,Glacier,0.17
F01589,Engineering,Media,8.95,253,S3 Standard,Glacier,0.17
F00894,Engineering,Media,8.94,212,S3 Standard,Glacier,0.1698
F02767,Finance,Backup,8.93,535,S3 Standard,Glacier,0.1697
F01097,Engineering,Backup,8.91,242,S3 Standard,Glacier,0.1693
F01874,HR,Backup,8.88,812,S3 Standard,Glacier,0.1687
F02739,HR,Other,8.88,345,S3 Standard,Glacier,0.1687
F00030,Engineering,Other,8.85,886,S3 Standard,Glacier,0.1681
F00134,Sales,Log,8.84,547,S3 Standard,Glacier,0.1679
F00286,Sales,Document,8.8,703,S3 Standard,Glacier,0.1672
F00210,Engineering,Document,8.79,613,S3 Standard,Glacier,0.167
F00060,Finance,Media,8.74,575,S3 Standard,Glacier,0.166
F00981,Marketing,Backup,19.51,259,S3 IA,Glacier,0.1659
F02445,Engineering,Media,8.73,279,S3 Standard,Glacier,0.1659
F01545,Marketing,Document,8.72,251,S3 Standard,Glacier,0.1657
F02788,Finance,Media,8.7,350,S3 Standard,Glacier,0.1653
F02008,HR,Backup,8.69,403,S3 Standard,Glacier,0.1651
F00522,HR,Backup,8.68,566,S3 Standard,Glacier,0.1649
F00464,Finance,Log,8.65,720,S3 Standard,Glacier,0.1644
F02760,Engineering,Document,8.62,370,S3 Standard,Glacier,0.1638
F00753,HR,Backup,8.61,248,S3 Standard,Glacier,0.1636
F02199,Engineering,Backup,8.6,627,S3 Standard,Glacier,0.1634
F01301,Sales,Backup,8.6,567,S3 Standard,Glacier,0.1634
F00525,Sales,Backup,8.59,262,S3 Standard,Glacier,0.1632
F02354,Marketing,Document,8.59,231,S3 Standard,Glacier,0.1632
F00063,Sales,Backup,8.58,672,S3 Standard,Glacier,0.163
F01200,Finance,Backup,8.55,560,S3 Standard,Glacier,0.1625
F01766,Marketing,Other,8.54,613,S3 Standard,Glacier,0.1622
F01807,Marketing,Document,8.54,340,S3 Standard,Glacier,0.1622
F00918,HR,Other,8.53,238,S3 Standard,Glacier,0.1621
F02006,Sales,Other,8.52,604,S3 Standard,Glacier,0.1619
F02371,Sales,Log,8.51,484,S3 Standard,Glacier,0.1617
F00569,Engineering,Media,8.5,375,S3 Standard,Glacier,0.1615
F00797,Sales,Log,8.49,408,S3 Standard,Glacier,0.1613
F02462,HR,Document,8.49,278,S3 Standard,Glacier,0.1613
F00955,HR,Document,8.49,355,S3 Standard,Glacier,0.1613
F00682,Sales,Document,8.47,857,S3 Standard,Glacier,0.1609
F02952,Marketing,Media,8.45,766,S3 Standard,Glacier,0.1605
F01219,Sales,Document,8.44,393,S3 Standard,Glacier,0.1603
F01037,Finance,Log,8.4,728,S3 Standard,Glacier,0.1596
F01170,Sales,Media,8.4,663,S3 Standard,Glacier,0.1596
F00251,HR,Other,8.39,416,S3 Standard,Glacier,0.1594
F00387,Finance,Backup,8.38,661,S3 Standard,Glacier,0.1592
F02596,Sales,Log,8.37,358,S3 Standard,Glacier,0.159
F02120,Engineering,Media,8.36,388,S3 Standard,Glacier,0.1589
F02854,Sales,Log,8.35,536,S3 Standard,Glacier,0.1586
F02394,Sales,Backup,8.3,861,S3 Standard,Glacier,0.1577
F02231,Sales,Log,8.27,876,S3 Standard,Glacier,0.1571
F00372,Engineering,Media,8.27,411,S3 Standard,Glacier,0.1571
F02373,HR,Media,8.24,471,S3 Standard,Glacier,0.1565
F02014,Finance,Other,8.24,549,S3 Standard,Glacier,0.1565
F00724,Engineering,Backup,8.22,641,S3 Standard,Glacier,0.1562
F01972,Sales,Document,8.22,521,S3 Standard,Glacier,0.1562
F01975,Finance,Media,8.22,756,S3 Standard,Glacier,0.1562
F02930,Sales,Backup,8.21,652,S3 Standard,Glacier,0.156
F02275,HR,Media,8.19,861,S3 Standard,Glacier,0.1556
F02809,Marketing,Log,8.19,420,S3 Standard,Glacier,0.1556
F00170,Engineering,Backup,8.19,396,S3 Standard,Glacier,0.1556
F01544,Marketing,Other,8.19,348,S3 Standard,Glacier,0.1556
F00989,Marketing,Document,8.19,399,S3 Standard,Glacier,0.1556
F01481,Finance,Log,8.14,704,S3 Standard,Glacier,0.1546
F01891,Marketing,Other,8.12,514,S3 Standard,Glacier,0.1543
F00474,Sales,Document,18.11,755,S3 IA,Glacier,0.154
F02191,Engineering,Other,8.1,609,S3 Standard,Glacier,0.1539
F00344,Engineering,Log,8.1,343,S3 Standard,Glacier,0.1539
F02098,HR,Media,8.09,269,S3 Standard,Glacier,0.1537
F01137,Finance,Media,8.06,365,S3 Standard,Glacier,0.1532
F01964,Sales,Backup,17.97,836,S3 IA,Glacier,0.1527
F01890,Finance,Media,8.02,703,S3 Standard,Glacier,0.1524
F01435,Engineering,Media,17.89,800,S3 IA,Glacier,0.152
F00438,Marketing,Log,7.98,564,S3 Standard,Glacier,0.1516
F01255,Marketing,Backup,7.97,706,S3 Standard,Glacier,0.1514
F01673,Sales,Log,7.96,314,S3 Standard,Glacier,0.1513
F00577,Finance,Media,7.96,743,S3 Standard,Glacier,0.1513
F00431,Finance,Document,7.94,274,S3 Standard,Glacier,0.1508
F02905,HR,Other,7.94,454,S3 Standard,Glacier,0.1508
F02248,Sales,Backup,7.93,623,S3 Standard,Glacier,0.1507
F00036,Sales,Backup,7.88,463,S3 Standard,Glacier,0.1497
F01684,Marketing,Log,17.61,351,S3 IA,Glacier,0.1497
F01869,Sales,Backup,7.87,281,S3 Standard,Glacier,0.1495
F02704,Marketing,Other,7.86,404,S3 Standard,Glacier,0.1494
F00230,Engineering,Other,7.85,821,S3 Standard,Glacier,0.1491
F00505,Marketing,Backup,7.85,300,S3 Standard,Glacier,0.1491
F00290,Engineering,Media,7.85,410,S3 Standard,Glacier,0.1491
F00974,Sales,Document,7.84,641,S3 Standard,Glacier,0.1489
F02150,Engineering,Log,7.82,578,S3 Standard,Glacier,0.1486
F00042,HR,Media,17.47,542,S3 IA,Glacier,0.1485
F02309,Engineering,Other,17.44,671,S3 IA,Glacier,0.1482
F01942,HR,Media,7.8,593,S3 Standard,Glacier,0.1482
F01409,Marketing,Other,7.78,310,S3 Standard,Glacier,0.1478
F00878,Finance,Backup,7.78,554,S3 Standard,Glacier,0.1478
F02162,Sales,Other,17.36,645,S3 IA,Glacier,0.1476
F00546,Sales,Other,7.76,203,S3 Standard,Glacier,0.1475
F02315,Finance,Other,7.75,364,S3 Standard,Glacier,0.1472
F02967,Marketing,Backup,7.75,490,S3 Standard,Glacier,0.1472
